ability, 능력
able, 할 수 있는
about, ~에 관한
above, 위의
absence, 부재
abstract, 추상
abstractions, 추상화들
abused, 악용된
access, 접근
accidentally, 우연히
according, 따르는
account, 고려
accuracies, 정확도들
accuracy, 정확도
achieve, 달성하다
across, ~에 걸쳐
actions, 행동들
activation, 활성화
add, 추가하다
added, 추가된
addition, 추가
additional, 추가적인
additionally, 추가로
addresses, 주소들
adjacency, 인접성
adjacent, 인접한
advanced, 고급의
affect, 영향을 주다
affecting, 영향을 주는
after, ~후에
aggregate, 집계하다
aggregated, 집계된
aggregation, 집계
aim, 목표로 하다
algorithm, 알고리즘
algorithmic, 알고리즘의
all, 모든
allow, 허용하다
almost, 거의
along, 함께
alongside, ~와 함께
also, 또한
alternative, 대안의
always, 항상
among, ~중에서
amounts, 양
an, 하나의
analysis, 분석
analysts, 분석가들
analyze, 분석하다
analyzing, 분석할 때
and, 그리고
another, 다른
any, 어떤
applicability, 적용가능성
application, 적용
applied, 적용된
apply, 적용하다
applying, 적용하는
approach, 접근법
are, ~이다
argument, 논거
art, 기술
as, ~처럼
aspects, 측면들
assertion, 단언
assign, 할당하다
assigned, 할당된
assignment, 할당
assisting, 보조하는
associated, 연관된
ASTs, 추상구문트리들
at, ~에
attackers, 공격자들
attacks, 공격들
attempting, 시도하는
attention, 주목
attributed, 속성이 부여된
authors, 저자들
automated, 자동화된
automation, 자동화
available, 이용가능한
avenues, 방법들
average, 평균
averaged, 평균낸
averages, 평균을 내다
averaging, 평균내기
aware, 알고 있는
backpropagation, 역전파
based, 기반한
baseline, 기준선
basic, 기본적인
batches, 배치들
be, ~이다
because, 왜냐하면
becomes, ~이 된다
been, ~였다
beginning, 시작
behave, 행동하다
behaviour, 행동
being, ~인 것
believe, 믿다
belonging, 속하는
below, 아래
benchmark, 벤치마크
benchmarking, 벤치마킹
beneficial, 유익한
benign, 양성의
besides, 게다가
best, 최고로
better, 더 나은
between, ~사이의
big, 큰
binaries, 바이너리들
binary, 이진의
black, 검은
block, 블록
blocks, 블록들
body, 본문
boosting, 향상시키는
both, 양쪽
box, 박스
bridge, 연결하다
brief, 간략한
briefly, 간략히
buffer, 버퍼
bug, 버그
buggy, 버그가 있는
bugs, 버그들
builds, 구축하다
but, 하지만
by, ~에 의해
called, 불리는
callee, 피호출자
calls, 호출들
can, 할 수 있다
capable, 할 수 있는
capacity, 능력
capture, 포착하다
captured, 포착된
captures, 포착하다
capturing, 포착하는
case, 경우
cases, 경우들
CFGs, 제어흐름그래프들
chains, 체인들
challenge, 도전과제
challenges, 도전과제들
challenging, 도전적인
changes, 변경들
characteristics, 특성들
check, 확인하다
child, 자식
choice, 선택
choose, 선택하다
chose, 선택했다
