{tackling, 해결하기}
{binary, 이진의}
{program, 프로그램}
{analysis, 분석}
{traditionally, 전통적으로}
{implied, 암시했다}
{manually, 수동으로}
{defining, 정의하기}
{rules, 규칙들}
{heuristics, 휴리스틱}
{tedious, 지루한}
{time, 시간}
{consuming, 소모하는}
{task, 작업}
{human, 인간}
{analysts, 분석가들}
{improve, 개선하다}
{automation, 자동화}
{scalability, 확장성}
{propose, 제안하다}
{alternative, 대안의}
{direction, 방향}
{based, 기반한}
{distributed, 분산된}
{representations, 표현들}
{applicability, 적용가능성}
{number, 수}
{downstream, 하위}
{tasks, 작업들}
{introduce, 소개하다}
{new, 새로운}
{approach, 접근법}
{leveraging, 활용하는}
{graph, 그래프}
{convolutional, 합성곱}
{networks, 네트워크들}
{along, 함께}
{computational, 계산의}
{graphs, 그래프들}
{learn, 학습하다}
{high, 높은}
{dimensional, 차원의}
{representation, 표현}
{executable, 실행가능한}
{programs, 프로그램들}
{demonstrate, 입증하다}
{versatility, 다재다능함}
{using, 사용하여}
{solve, 해결하다}
{two, 둘}
{semantically, 의미론적으로}
{different, 다른}
{functional, 기능적}
{algorithm, 알고리즘}
{classification, 분류}
{vulnerability, 취약점}
{discovery, 발견}
{compare, 비교하다}
{proposed, 제안된}
{own, 자체의}
{strong, 강력한}
{baseline, 기준선}
{well, 잘}
{published, 출판된}
{results, 결과들}
{improvement, 개선}
{over, ~을 넘어}
{state, 상태}
{art, 기술}
{methods, 방법들}
{both, 양쪽}
{evaluated, 평가했다}
{binaries, 바이너리들}
{including, 포함하여}
{least, 최소한}
{entries, 항목들}
{each, 각}
{set, 설정하다}
{result, 결과}
{reducing, 줄이는}
{error, 오류}
{compared, 비교하여}
{source, 소스}
{code, 코드}
{while, ~하는 동안}
{working, 작업하는}
{almost, 거의}
{every, 모든}
{class, 클래스}
{dataset, 데이터셋}
{prediction, 예측}
{accuracy, 정확도}
{multiple, 다수의}
{classes, 클래스들}
{many, 많은}
{security, 보안}
{problems, 문제들}
{researchers, 연구자들}
{relying, 의존하는}
{they, 그들}
{need, 필요하다}
{inspect, 검사하다}
{files, 파일들}
{without, ~없이}
{access, 접근}
{any, 어떤}
{often, 종종}
{needed, 필요한}
{analyzing, 분석할 때}
{commercial, 상업적}
{protected, 보호된}
{intellectual, 지적}
{property, 재산}
{available, 이용가능한}
{can, 할 수 있다}
{also, 또한}
{useful, 유용한}
{other, 다른}
{scenarios, 시나리오들}
{those, 그것들}
{include, 포함하다}
{dealing, 다루는}
{unsupported, 지원되지 않는}
{legacy, 레거시}
{executables, 실행파일들}
{where, ~인 곳}
{information, 정보}
{about, ~에 관한}
{exact, 정확한}
{version, 버전}
{lost, 잃어버린}
{even, 심지어}
{original, 원본}
{itself, 그 자체}
{may, ~일 수 있다}
{additionally, 추가로}
{frequently, 자주}
{used, 사용된}
{testing, 테스트}
{system, 시스템}
{like, ~와 같은}
{black, 검은}
{box, 박스}
{penetration, 침투}
{when, ~할 때}
{goal, 목표}
{check, 확인하다}
{weaknesses, 약점들}
{vulnerabilities, 취약점들}
{potentially, 잠재적으로}
{abused, 악용된}
{finally, 마지막으로}
{important, 중요한}
{part, 부분}
{investigating, 조사하는}
{how, 어떻게}
{hard, 어려운}
{recovering, 복구하는}
{key, 핵심}
{parts, 부분들}
{sake, 목적}
{preventing, 방지하는}
{theft, 도난}
{translation, 번역}
{process, 과정}
{going, 가는}
{from, ~로부터}
{called, 불리는}
{compilation, 컴파일}
{lossy, 손실이 있는}
{sense, 의미}
{that, 그것}
{only, 단지}
{basic, 기본적인}
{low, 낮은}
{level, 수준}
{instructions, 명령어들}
{data, 데이터}
{understood, 이해된}
{target, 대상}
{preserved, 보존된}
{because, 왜냐하면}
{this, 이것}
{impossible, 불가능한}
{general, 일반적인}
{case, 경우}
{reconstruct, 재구성하다}
{compiled, 컴파일된}
{more, 더}
{complicated, 복잡한}
{as, ~처럼}
{stripped, 스트립된}
{stripping, 스트립하기}
{removes, 제거한다}
{debug, 디버그}
{symbol, 심볼}
{tables, 테이블들}
{which, 어느}
{contain, 포함하다}
{semantics, 의미론}
{variables, 변수들}
{reconstructing, 재구성하는}
{function, 함수}
{entry, 진입}
{points, 지점들}
{challenging, 도전적인}
{constantly, 끊임없이}
{growing, 증가하는}
{computing, 컴퓨팅}
{devices, 장치들}
{consumer, 소비자}
{industrial, 산업의}
{infrastructure, 인프라}
{applications, 응용프로그램들}
{complexity, 복잡도}
{software, 소프트웨어}
{scope, 범위}
{becomes, ~이 된다}
{increasingly, 점점 더}
{large, 큰}
{fast, 빠른}
{automated, 자동화된}
{would, ~할 것이다}
{allow, 허용하다}
{spreading, 확산}
{bugs, 버그들}
{all, 모든}
{complex, 복잡한}
{systems, 시스템들}
{through, ~을 통해}
{shared, 공유된}
{reused, 재사용된}
{difficult, 어려운}
{related, 관련된}
{challenges, 도전과제들}
{size, 크기}
{absence, 부재}
{semantic, 의미론적}
{structure, 구조}
{indeed, 실제로}
{engineer, 엔지니어}
{looking, 보는}
{at, ~에}
{file, 파일}
{containing, 포함하는}
{up, 위로}
{megabytes, 메가바이트}
{precise, 정확한}
{such, 그러한}
{existing, 기존의}
{tools, 도구들}
{requires, 요구한다}
{amounts, 양}
{power, 힘}
{it, 그것}
{particularly, 특히}
{do, 하다}
{instead, 대신에}
{rely, 의존하다}
{combination, 조합}
{formal, 형식적}
{models, 모델들}
{reason, 추론하다}
{replacing, 대체하는}
{these, 이러한}
{advanced, 고급의}
{statistical, 통계적}
{learning, 학습}
{machine, 기계}
{has, 가지다}
{potential, 잠재력}
{improving, 개선하는}
{performance, 성능}
{keeping, 유지하는}
{recent, 최근의}
{years, 년들}
{we, 우리}
{have, 가지다}
{seen, 보았다}
{big, 큰}
{surge, 급증}
{field, 분야}
{routinely, 일상적으로}
{turn, 돌다}
{algorithms, 알고리즘들}
{smarter, 더 똑똑한}
{solutions, 해결책들}
{for, ~을 위한}
{example, 예}
{due, ~때문에}
{rapidly, 빠르게}
{evolving, 진화하는}
{modifications, 수정들}
{malware, 악성코드}
{applied, 적용된}
{detection, 탐지}
{similarly, 유사하게}
{detecting, 탐지하는}
{reacting, 반응하는}
{network, 네트워크}
{attacks, 공격들}
{faster, 더 빠르게}
{having, 가지는}
{operate, 작동하다}
{on, ~에}
{promising, 유망한}
{bridge, 연결하다}
{gap, 격차}
{between, ~사이의}
{abstractions, 추상화들}
{recover, 복구하다}
{was, ~였다}
{during, ~동안}
{obtaining, 얻는}
{good, 좋은}
{vectorized, 벡터화된}
{problem, 문제}
{usually, 보통}
{solved, 해결된}
{by, ~에 의해}
{hand, 손}
{selecting, 선택하는}
{features, 특징들}
{feeding, 공급하는}
{score, 점수}
{approaches, 접근법들}
{range, 범위}
{metrics, 지표들}
{sequence, 순서}
{calls, 호출들}
{besides, 게다가}
{being, ~인 것}
{non, 비}
{trivial, 사소한}
